file_name,bmp_path,postal_code,town_name_arabic,transcription_notes
ae07_001,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_001.bmp,,, 
ae07_002,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_002.bmp,,, 
ae07_003,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_003.bmp,,, 
ae07_004,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_004.bmp,,, 
ae07_005,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_005.bmp,,, 
ae07_006,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_006.bmp,,, 
ae07_007,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_007.bmp,,, 
ae07_008,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_008.bmp,,, 
ae07_009,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_009.bmp,,, 
ae07_010,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_010.bmp,,, 
ae07_011,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_011.bmp,,, 
ae07_012,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_012.bmp,,, 
ae07_013,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_013.bmp,,, 
ae07_014,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_014.bmp,,, 
ae07_015,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_015.bmp,,, 
ae07_016,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_016.bmp,,, 
ae07_017,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_017.bmp,,, 
ae07_018,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_018.bmp,,, 
ae07_019,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_019.bmp,,, 
ae07_020,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_020.bmp,,, 
ae07_021,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_021.bmp,,, 
ae07_022,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_022.bmp,,, 
ae07_023,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_023.bmp,,, 
ae07_024,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_024.bmp,,, 
ae07_025,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_025.bmp,,, 
ae07_026,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_026.bmp,,, 
ae07_027,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_027.bmp,,, 
ae07_028,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_028.bmp,,, 
ae07_029,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_029.bmp,,, 
ae07_030,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_030.bmp,,, 
ae07_031,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_031.bmp,,, 
ae07_032,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_032.bmp,,, 
ae07_033,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_033.bmp,,, 
ae07_034,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_034.bmp,,, 
ae07_035,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_035.bmp,,, 
ae07_036,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_036.bmp,,, 
ae07_037,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_037.bmp,,, 
ae07_038,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_038.bmp,,, 
ae07_039,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_039.bmp,,, 
ae07_040,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_040.bmp,,, 
ae07_041,D:\HTR\Dataset\IFN-ENIT\Bmp files\ae07_041.bmp,,, 
